date,tcn,tcr,ipc,ipc_nvolatil,tpm,ror2,ror10,ror5,ror2uf,ror10uf,ror5uf,m1,m2,m3,ipsa,col,colcons,colviv,colcom,imacec,imacecdes,exp,imp,impk,reserv,lf,empl,unem,ind,indmin,indmanu,indega,genera,ivcm,cobre,oil,spread,tbill10,rem_index
1/1/1980,,,2.1,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,20.73860641
1/2/1980,,,1.8,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,20.92718817
1/3/1980,,,2.9,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,1,,,,21.32590391
1/4/1980,,,2.5,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,21.44444102
1/5/1980,,,2.3,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,21.61147059
1/6/1980,,,1.9,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,22.05329073
1/7/1980,,,2,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,1,,,,22.47355867
1/8/1980,,,2.2,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,22.72679704
1/9/1980,,,2.1,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,23.8636757
1/10/1980,,,2.9,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,24.26777949
1/11/1980,,,2.6,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,24.55873422
1/12/1980,,,1.9,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,24.75809209
1/1/1981,,,1.6,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,25.08676317
1/2/1981,,,0.3,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,24.96822605
1/3/1981,,,0.8,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,25.42621035
1/4/1981,,,1.2,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,25.60401601
1/5/1981,,,1.3,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,25.78720973
1/6/1981,,,0.1,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,26.19131352
1/7/1981,,,0.6,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,26.26674623
1/8/1981,,,1.2,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,26.43916384
1/9/1981,,,0.9,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,27.34974438
1/10/1981,,,0.3,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,27.5437142
1/11/1981,,,0.2,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,27.77001232
1/12/1981,,,0.5,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,28.11484755
1/1/1982,,,0.7,,,,,,,,,101,,,,,,,,,,,,,"3,797",,,,,,,,,,0.7,,,,28.37347398
1/2/1982,,,-0.8,,,,,,,,,99,,,,,,,,,,,,,"3,786",,,,,,,,,,0.7,,,,28.50278719
1/3/1982,,,0.4,,,,,,,,,99,,,,,,,,,,,,,"3,800",,,,,,,,,,0.7,,,,28.94460733
1/4/1982,,,-0.1,,,,,,,,,99,,,,,,,,,,,,,"3,680",,,,,,,,,,0.7,,,,29.06853249
1/5/1982,,,-0.5,,,,,,,,,96,,,,,,,,,,,,,"3,575",,,,,,,,,,0.7,,,,29.2086218
1/6/1982,,,0.7,,,,,,,,,97,,,,,,,,,,,,,"3,485",,,,,,,,,,0.6,,,,29.6450539
1/7/1982,,,2,,,,,,,,,88,,,,,,,,,,,,,"3,348",,,,,,,,,,0.7,,,,29.69354635
1/8/1982,57.8,,3.2,,,,,,,,,92,,,,,,,,,,,,,"3,208",,,,,,,,,,0.7,,,,30.04915768
1/9/1982,63.04,,4.3,,,,,,,,,94,,,,,,,,,,,,,"2,759",,,,,,,,,,0.6,,,,31.10521558
1/10/1982,66.27,,4.8,,,,,,,,,89,,,,,,,,,,,,,"2,692",,,,,,,,,,0.7,,,,31.19681244
1/11/1982,69.19,,3.3,,,,,,,,,85,,,,,,,,,,,,,"2,492",,,,,,,,,,0.7,,,,31.37461811
1/12/1982,72.39,,1.2,,,,,,,,,98,,,,,,,,,,,,,"2,735",,,,,,,,,,0.7,,,,31.52009547
1/1/1983,74.04,,1.8,,,,,,,,,111,,,,,,,,,,,,,"2,496",,,,,,,,,,0.7,,,,31.789498
1/2/1983,76.38,,0.1,,,,,,,,,114,,,,,,,,,,,,,"2,334",,,,,,,,,,0.7,,,,32.01040807
1/3/1983,74.48,,1.9,,,,,,,,,115,,,,,,,,,,,,,"2,124",,,,,,,,,,0.7,,,,32.3875716
